"Date
Time",,"Report
Number",County,,City,,,,Agency,,"Weather
Lighting",,Roadway,"Contributing
Circumstances",,"Injury
Severity",Citation,,Sobriety,,
"11/1/2021
8:48:00 AM",,EB84266,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Concrete
Dry",None,,,Unknown,,,,
"11/1/2021
8:57:00 AM",,EB84280,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2021
8:57:00 AM",,EB84280,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",Unknown Distraction,,,Unknown,,,,
"11/1/2021
9:01:00 AM",,EB84322,Pierce,,Tacoma,,,,State Patrol,,"Clear
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2021
9:01:00 AM",,EB84322,Pierce,,Tacoma,,,,State Patrol,,"Clear
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",Improper Turn/Merge,,,Yes,,,,
"11/1/2021
9:15:00 AM",,EB84477,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Other
Straight & Level
Dry",Other Contributing Circ Not Listed,,,Unknown,,,,
"11/1/2021
9:15:00 AM",,EB84477,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Other
Straight & Level
Blacktop
Dry",Unknown Distraction,,,Unknown,,,,
"11/1/2021
10:08:00 AM",,EB84380,Pierce,,Tacoma,,,,Municipal/City Police,,"Partly Cloudy
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",Operating Recklessly or Aggressively,,,Unknown,,,,
"11/1/2021
10:08:00 AM",,EB84380,Pierce,,Tacoma,,,,Municipal/City Police,,"Partly Cloudy
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2021
10:59:00 AM",,EB84651,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Concrete
Dry",Exceeding Stated Speed Limit,,,Unknown,,,,
"11/1/2021
10:59:00 AM",,EB84651,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Concrete
Dry",None,,,Unknown,,,,
"11/1/2021
12:10:00 PM",,EB84455,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Daylight",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2021
12:10:00 PM",,EB84455,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Daylight",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",Unknown Distraction,,,Unknown,,,,
"11/1/2021
1:11:00 PM",,EB88654,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Two Way - Divided, with Barrier
Straight at Hillcrest
Blacktop
Snow/Slush",Follow Too Closely,,,Yes,,,,
"11/1/2021
1:11:00 PM",,EB88659,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Two Way - Divided, with Barrier
Straight at Hillcrest
Blacktop
Snow/Slush",Overcorrecting / Oversteering,,,Yes,,,,
"11/1/2021
1:11:00 PM",,EB88654,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Two Way - Divided, with Barrier
Straight at Hillcrest
Blacktop
Snow/Slush",None,,,Unknown,,,,
"11/1/2021
1:15:00 PM",,EB86438,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Interchange Ramp
Curve in Sag
Blacktop
Other",Exceeding Reas. Safe Speed,,,Yes,,,,
"11/1/2021
1:42:00 PM",,EB84439,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Other
Straight & Level
Blacktop
Dry",Improper Backing,,,Unknown,,,,
"11/1/2021
2:58:00 PM",,EB85847,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2021
3:15:00 PM",,EB86441,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Interchange Ramp
Curve & Grade
Blacktop
Oil",Exceeding Reas. Safe Speed,,,Yes,,,,
"11/1/2021
3:24:00 PM",,EB84696,Pierce,,Tacoma,,,,County Sheriff,,"Raining
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Concrete
Dry",Unknown Distraction,,,Unknown,,,,
"11/1/2021
3:24:00 PM",,EB84696,Pierce,,Tacoma,,,,County Sheriff,,"Raining
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Concrete
Dry",None,,,Unknown,,,,
"11/1/2021
3:24:00 PM",,EB84436,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Unknown Distraction,,,Yes,,,,
"11/1/2021
3:24:00 PM",,EB84436,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Unknown Distraction,,,Unknown,,,,
"11/1/2021
3:25:00 PM",,EB85056,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",Did Not Grant R/W to Non Motorist,,,Unknown,,,,
"11/1/2021
3:25:00 PM",,EB85056,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2021
3:40:00 PM",,EB84435,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Follow Too Closely,,,Yes,,,,
"11/1/2021
3:40:00 PM",,EB84435,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Yes,,,,
"11/1/2021
3:40:00 PM",,EB84435,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2021
3:50:00 PM",,EB86070,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",Follow Too Closely,,,Yes,,,,
"11/1/2021
3:50:00 PM",,EB86722,Pierce,,Tacoma,,,,State Patrol,,"Overcast
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2021
3:50:00 PM",,EB86070,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2021
3:50:00 PM",,EB86722,Pierce,,Tacoma,,,,State Patrol,,"Overcast
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",Improper Turn/Merge,,,Yes,,,,
"11/1/2021
4:00:00 PM",,EB84438,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2021
4:00:00 PM",,EB84438,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Exceeding Reas. Safe Speed,,,Unknown,,,,
"11/1/2021
4:07:00 PM",,EB86707,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",Exceeding Reas. Safe Speed,,,Unknown,,,,
"11/1/2021
4:07:00 PM",,EB86707,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2021
4:27:00 PM",,EB84478,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2021
4:27:00 PM",,EB84478,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Improper Passing,,,Yes,,,,
"11/1/2021
4:30:00 PM",,EB84710,Pierce,,Tacoma,,,,County Sheriff,,"Overcast
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2021
5:00:00 PM",,EB87011,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2021
5:00:00 PM",,EB87011,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",Exceeding Reas. Safe Speed,,,Yes,,,,
"11/1/2021
5:48:00 PM",,EB86708,Pierce,,Tacoma,,,,State Patrol,,"Clear
Daylight",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",Did Not Grant RW to Vehicle,,,Unknown,,,,
"11/1/2021
5:48:00 PM",,EB86708,Pierce,,Tacoma,,,,State Patrol,,"Clear
Daylight",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2021
6:26:00 PM",,EB84611,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dark-Street Lights On",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Disregard Traffic Sign and Signals,,,Yes,,,,
"11/1/2021
6:26:00 PM",,EB84611,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dark-Street Lights On",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2021
7:40:00 PM",,EB88862,Pierce,,Tacoma,,,,State Patrol,,"Raining
Dark-No Street Lights",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2021
7:40:00 PM",,EB88862,Pierce,,Tacoma,,,,State Patrol,,"Raining
Dark-No Street Lights",,"Two Way - Undivided
Straight & Level
Blacktop
Dry","Under Influence of Alcohol, Did Not Grant RW to Vehicle",,,Yes,,,,
"11/1/2021
10:19:00 PM",,EB84527,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dark-Street Lights On",,"Two Way - Undivided
Straight & Grade
Blacktop
Wet",None,,,Unknown,,,,
"11/2/2021
12:13:00 AM",,EB85166,Pierce,,Tacoma,,,,Municipal/City Police,,"Clear
Dark-Street Lights On",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",Exceeding Reas. Safe Speed,,,Unknown,,,,
"11/2/2021
2:10:00 AM",,EB84544,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dark-Street Lights On",,"Two Way - Undivided
Straight & Level
Dry",Other Contributing Circ Not Listed,,,Unknown,,,,
"11/2/2021
2:10:00 AM",,EB84544,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dark-Street Lights On",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Unknown Distraction,,,Unknown,,,,
"11/2/2021
4:34:00 AM",,EB84650,Pierce,,Tacoma,,,,Municipal/City Police,,"Partly Cloudy
Dark-Street Lights On",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/2/2021
4:34:00 AM",,EB84650,Pierce,,Tacoma,,,,Municipal/City Police,,"Partly Cloudy
Dark-Street Lights On",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",Other Contributing Circ Not Listed,,,Unknown,,,,
"11/2/2021
7:10:00 AM",,EB84748,Pierce,,Tacoma,,,,Municipal/City Police,,"Clear
Dawn",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",Did Not Grant RW to Vehicle,,,Yes,,,,
"11/2/2021
7:10:00 AM",,EB84748,Pierce,,Tacoma,,,,Municipal/City Police,,"Clear
Dawn",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/2/2021
7:19:00 AM",,EB88119,Pierce,,Tacoma,,,,State Patrol,,"Overcast
Dark - Unknown Lighting",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/2/2021
7:19:00 AM",,EB88119,Pierce,,Tacoma,,,,State Patrol,,"Overcast
Dark - Unknown Lighting",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry","Exceeding Reas. Safe Speed, Follow Too Closely",,,Yes,,,,
"11/2/2021
7:44:00 AM",,EB84779,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Daylight",,"Two Way - Divided, no Barrier
Straight & Grade
Blacktop
Wet",Exceeding Reas. Safe Speed,,,Yes,,,,
"11/2/2021
7:44:00 AM",,EB84779,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Daylight",,"Two Way - Divided, no Barrier
Straight & Grade
Blacktop
Wet",None,,,Unknown,,,,
"11/2/2021
8:00:00 AM",,EB85316,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dark-Street Lights On",,"Two Way - Divided, no Barrier
Straight & Level
Concrete
Dry",Unknown Distraction,,,Unknown,,,,
"11/2/2021
10:15:00 AM",,EB85191,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",Did Not Grant RW to Vehicle,,,Yes,,,,
"11/2/2021
10:15:00 AM",,EB85191,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/2/2021
12:56:00 PM",,EB85190,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Other Distractions,,,Yes,,,,
"11/2/2021
1:28:00 PM",,EB84929,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/2/2021
1:28:00 PM",,EB84929,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Did Not Grant RW to Vehicle,,,Yes,,,,
"11/2/2021
2:14:00 PM",,EB84913,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Other",,"Two Way - Undivided
Straight & Level
Concrete
Dry",Did Not Grant RW to Vehicle,,,Yes,,,,
"11/2/2021
2:14:00 PM",,EB84913,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Other",,"Two Way - Undivided
Straight & Level
Concrete
Dry",None,,,Yes,,,,
"11/2/2021
2:20:00 PM",,EB85189,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Unknown Distraction,,,Unknown,,,,
"11/2/2021
2:20:00 PM",,EB85189,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/2/2021
3:58:00 PM",,EB90214,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Concrete
Dry",Exceeding Reas. Safe Speed,,,Yes,,,,
"11/2/2021
3:58:00 PM",,EB90214,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Concrete
Dry",None,,,Unknown,,,,
"11/2/2021
4:10:00 PM",,EB85761,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Two Way - Divided, with Barrier
Straight & Level
Concrete
Dry",Exceeding Reas. Safe Speed,,,Yes,,,,
"11/2/2021
5:20:00 PM",,EB85016,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/2/2021
5:20:00 PM",,EB85016,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",Unknown Distraction,,,Unknown,,,,
"11/2/2021
5:37:00 PM",,EB84977,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dusk",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/2/2021
5:37:00 PM",,EB84977,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dusk",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",Disregard Traffic Sign and Signals,,,Yes,,,,
"11/2/2021
5:38:00 PM",,EB85092,Pierce,,Tacoma,,,,County Sheriff,,"Raining
Dark-Street Lights On",,"Two Way - Divided, no Barrier
Straight & Level
Concrete
Dry",None,,,Unknown,,,,
"11/2/2021
5:38:00 PM",,EB85092,Pierce,,Tacoma,,,,County Sheriff,,"Raining
Dark-Street Lights On",,"Two Way - Divided, no Barrier
Straight & Level
Concrete
Dry",Unknown Distraction,,,Unknown,,,,
"11/2/2021
8:07:00 PM",,EB85165,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dark-Street Lights On",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/2/2021
8:07:00 PM",,EB85165,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dark-Street Lights On",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",Unknown Distraction,,,Unknown,,,,
"11/2/2021
8:43:00 PM",,EB86101,Pierce,,Tacoma,,,,County Sheriff,,"Raining
Dark-Street Lights On",,"Two Way - Undivided
Curve & Level
Blacktop
Sand/Mud/Dirt",Other Contributing Circ Not Listed,,,Unknown,,,,
"11/2/2021
9:00:00 PM",,EB86100,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dark-Street Lights On",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/2/2021
9:10:00 PM",,EB85766,Pierce,,Tacoma,,,,State Patrol,,"Raining
Dark-Street Lights On",,"Interchange Ramp
Curve & Grade
Concrete
Oil",Exceeding Reas. Safe Speed,,,Yes,,,,
"11/2/2021
10:10:00 PM",,EB85776,Pierce,,Tacoma,,,,State Patrol,,"Raining
Dark-Street Lights On",,"Interchange Ramp
Straight & Level
Concrete
Dry",Did Not Grant RW to Vehicle,,,Unknown,,,,
"11/2/2021
10:10:00 PM",,EB85776,Pierce,,Tacoma,,,,State Patrol,,"Raining
Dark-Street Lights On",,"Interchange Ramp
Straight & Level
Concrete
Dry",None,,,Unknown,,,,
"11/2/2021
11:10:00 PM",,EB85772,Pierce,,Tacoma,,,,State Patrol,,"Clear
Dark-Street Lights On",,"Interchange Ramp
Curve & Level
Blacktop
Sand/Mud/Dirt",Exceeding Reas. Safe Speed,,,Yes,,,,
"11/3/2021
2:08:00 AM",,EB86135,Pierce,,Tacoma,,,,Municipal/City Police,,"Partly Cloudy
Dark-Street Lights On",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Operating Recklessly or Aggressively,,,Unknown,,,,
"11/3/2021
3:45:00 AM",,EB85164,Pierce,,Tacoma,,,,Municipal/City Police,,"Partly Cloudy
Dark-Street Lights On",,"Two Way - Divided, no Barrier
Straight & Grade
Wet",Other Contributing Circ Not Listed,,,Unknown,,,,
"11/3/2021
3:45:00 AM",,EB85164,Pierce,,Tacoma,,,,Municipal/City Police,,"Partly Cloudy
Dark-Street Lights On",,"Two Way - Divided, no Barrier
Straight & Grade
Concrete
Wet",Unknown Distraction,,,Unknown,,,,
"11/3/2021
6:56:00 AM",,EB85167,Pierce,,Tacoma,,,,Municipal/City Police,,"Clear
Dawn",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",Exceeding Stated Speed Limit,,,Unknown,,,,
"11/3/2021
6:56:00 AM",,EB85167,Pierce,,Tacoma,,,,Municipal/City Police,,"Clear
Dawn",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/3/2021
7:10:00 AM",,EB85188,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Dark-Street Lights On",,"Center-Two Way Left Turn Lane
Straight & Level
Blacktop
Dry",Distracted by Adjusting Vehicle Cntrls,,,Yes,,,,
"11/3/2021
7:10:00 AM",,EB85188,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Dark-Street Lights On",,"Center-Two Way Left Turn Lane
Straight & Level
Dry",Other Contributing Circ Not Listed,,,Unknown,,,,
"11/3/2021
7:22:00 AM",,EB88123,Pierce,,Tacoma,,,,State Patrol,,"Clear
Dark - Unknown Lighting",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/3/2021
7:22:00 AM",,EB88123,Pierce,,Tacoma,,,,State Patrol,,"Clear
Dark - Unknown Lighting",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",Follow Too Closely,,,Yes,,,,
"11/3/2021
8:42:00 AM",,EB90012,Pierce,,Tacoma,,,,State Patrol,,"Overcast
Daylight",,"Interchange Ramp
Curve & Grade
Concrete
Oil",Exceeding Reas. Safe Speed,,,Yes,,,,
"11/3/2021
9:07:00 AM",,EB88124,Pierce,,Tacoma,,,,State Patrol,,"Clear
Daylight",,"Interchange Ramp
Curve & Grade
Blacktop
Oil",None,,,Unknown,,,,
"11/3/2021
9:07:00 AM",,EB88124,Pierce,,Tacoma,,,,State Patrol,,"Clear
Daylight",,"Interchange Ramp
Curve & Grade
Blacktop
Oil",Improper Turn/Merge,,,Yes,,,,
"11/3/2021
11:16:00 AM",,EB85440,Pierce,,Tacoma,,,,State Patrol,,"Overcast
Daylight",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",None,,,Yes,,,,
"11/3/2021
11:16:00 AM",,EB85440,Pierce,,Tacoma,,,,State Patrol,,"Overcast
Daylight",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry","Improper Turn/Merge, Did Not Grant RW to Vehicle",,,Unknown,,,,
"11/3/2021
1:41:00 PM",,EB85267,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Daylight",,"Other
Straight & Level
Blacktop
Dry",Improper Parking Location,,,Unknown,,,,
"11/3/2021
2:24:00 PM",,EB86023,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Improper Parking Location,,,Unknown,,,,
"11/3/2021
2:24:00 PM",,EB86023,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Daylight",,"Two Way - Undivided
Straight & Level
Dry",None,,,Unknown,,,,
"11/3/2021
2:50:00 PM",,EB87328,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Center-Two Way Left Turn Lane
Straight & Level
Blacktop
Dry",Did Not Grant RW to Vehicle,,,Yes,,,,
"11/3/2021
2:50:00 PM",,EB87328,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Center-Two Way Left Turn Lane
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/3/2021
3:28:00 PM",,EB85344,Pierce,,Tacoma,,,,Municipal/City Police,,"Clear
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/3/2021
3:28:00 PM",,EB85344,Pierce,,Tacoma,,,,Municipal/City Police,,"Clear
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Follow Too Closely,,,Unknown,,,,
"11/3/2021
3:39:00 PM",,EB99453,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Daylight",,"Other
Curve & Grade
Blacktop
Oil",Exceeding Reas. Safe Speed,,,Unknown,,,,
"11/3/2021
4:00:00 PM",,EB85321,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Two Way - Divided, no Barrier
Straight & Grade
Concrete
Wet",Did Not Grant RW to Vehicle,,,Unknown,,,,
"11/3/2021
4:00:00 PM",,EB85321,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Two Way - Divided, no Barrier
Straight & Grade
Concrete
Wet",None,,,Unknown,,,,
"11/3/2021
6:28:00 PM",,EB86738,Pierce,,Tacoma,,,,State Patrol,,"Raining
Dark-No Street Lights",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/3/2021
6:28:00 PM",,EB86738,Pierce,,Tacoma,,,,State Patrol,,"Raining
Dark-No Street Lights",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",Improper Turn/Merge,,,Yes,,,,
"11/3/2021
6:32:00 PM",,EB87119,Pierce,,Tacoma,,,,County Sheriff,,"Raining
Dark-Street Lights On",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
