"Date
Time",,"Report
Number",County,,City,,,,Agency,,"Weather
Lighting",,Roadway,"Contributing
Circumstances",,"Injury
Severity",Citation,,Sobriety,,
"11/1/2023
12:50:00 AM",,EE16526,Pierce,,Tacoma,,,,State Patrol,,"Overcast
Dark-Street Lights On",,"Straight & Level
Dry",None,,,Unknown,,,,
"11/1/2023
12:50:00 AM",,EE16526,Pierce,,Tacoma,,,,State Patrol,,"Overcast
Dark-Street Lights On",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry","Under Influence of Alcohol, Other Contributing Circ Not Listed",,,Yes,,,,
"11/1/2023
12:50:00 AM",,EE16526,Pierce,,Tacoma,,,,State Patrol,,"Overcast
Dark-Street Lights On",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",Overcorrecting / Oversteering,,,Unknown,,,,
"11/1/2023
2:08:00 AM",,EE15213,Pierce,,Tacoma,,,,Municipal/City Police,,"Clear
Dark-Street Lights On",,"Two Way - Undivided
Straight & Grade
Blacktop
Wet",Under Influence of Alcohol,,,Unknown,,,,
"11/1/2023
2:08:00 AM",,EE15213,Pierce,,Tacoma,,,,Municipal/City Police,,"Clear
Dark-Street Lights On",,"Two Way - Undivided
Straight & Grade
Wet",None,,,Unknown,,,,
"11/1/2023
2:53:00 AM",,EE15215,Pierce,,Tacoma,,,,Municipal/City Police,,"Clear
Dark-Street Lights On",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2023
2:53:00 AM",,EE15215,Pierce,,Tacoma,,,,Municipal/City Police,,"Clear
Dark-Street Lights On",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",Other Contributing Circ Not Listed,,,Unknown,,,,
"11/1/2023
2:53:00 AM",,EE15215,Pierce,,Tacoma,,,,Municipal/City Police,,"Clear
Dark-Street Lights On",,"Other
Straight & Level
Dry",Other Contributing Circ Not Listed,,,Unknown,,,,
"11/1/2023
6:37:00 AM",,EE17750,Pierce,,Tacoma,,,,State Patrol,,"Overcast
Dark-Street Lights On",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",Other Contributing Circ Not Listed,,,Yes,,,,
"11/1/2023
7:35:00 AM",,EE15989,Pierce,,Tacoma,,,,State Patrol,,"Overcast
Dawn",,"Interchange Ramp
Straight & Level
Blacktop
Dry",Under Influence of Drugs,,,Unknown,,,,
