"Date
Time",,"Report
Number",County,,City,,,,Agency,,"Weather
Lighting",,Roadway,"Contributing
Circumstances",,"Injury
Severity",Citation,,Sobriety,,
"11/1/2024
1:01:00 AM",,EF30920,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dark-Street Lights On",,"Two Way - Undivided
Straight & Level
Concrete
Dry",Unknown Distraction,,,Unknown,,,,
"11/1/2024
1:01:00 AM",,EF30920,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dark-Street Lights On",,"Two Way - Divided, no Barrier
Straight & Level
Dry",Other Contributing Circ Not Listed,,,Unknown,,,,
"11/1/2024
3:12:00 AM",,EF32429,Pierce,,Tacoma,,,,State Patrol,,"Raining
Dark-Street Lights On",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",Under Influence of Alcohol,,,Unknown,,,,
"11/1/2024
6:20:00 AM",,EF31087,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dark-Street Lights On",,"Two Way - Undivided
Straight & Level
Concrete
Dry",None,,,Unknown,,,,
"11/1/2024
6:20:00 AM",,EF31087,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dark-Street Lights On",,"Two Way - Undivided
Straight & Level
Concrete
Dry",Unknown Distraction,,,Unknown,,,,
"11/1/2024
6:42:00 AM",,EF30853,Pierce,,Tacoma,,,,County Sheriff,,"Raining
Dawn",,"Two Way - Undivided
Curve & Grade
Blacktop
Oil",None,,,Unknown,,,,
"11/1/2024
7:29:00 AM",,EF31215,Pierce,,Tacoma,,,,County Sheriff,,"Raining
Dark - Unknown Lighting",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2024
7:29:00 AM",,EF31215,Pierce,,Tacoma,,,,County Sheriff,,"Raining
Dark - Unknown Lighting",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Overcorrecting / Oversteering,,,Unknown,,,,
"11/1/2024
7:30:00 AM",,EF30868,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dark-Street Lights On",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",Other Distractions,,,Unknown,,,,
"11/1/2024
7:34:00 AM",,EF33048,Pierce,,Tacoma,,,,State Patrol,,"Raining
Dark-Street Lights On",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2024
8:37:00 AM",,EF33886,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Two Way - Divided, with Barrier
Curve & Level
Blacktop
Sand/Mud/Dirt",Exceeding Reas. Safe Speed,,,Yes,,,,
"11/1/2024
8:37:00 AM",,EF33886,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Two Way - Divided, with Barrier
Curve & Level
Blacktop
Sand/Mud/Dirt",None,,,Unknown,,,,
"11/1/2024
10:08:00 AM",,EF30935,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Concrete
Dry",Follow Too Closely,,,Unknown,,,,
"11/1/2024
10:56:00 AM",,EF31367,Pierce,,Tacoma,,,,Municipal/City Police,,"Unknown
Dark - Unknown Lighting",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Did Not Grant RW to Vehicle,,,Unknown,,,,
"11/1/2024
10:56:00 AM",,EF31367,Pierce,,Tacoma,,,,Municipal/City Police,,"Unknown
Dark - Unknown Lighting",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2024
11:00:00 AM",,EF31229,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",Unknown Distraction,,,Unknown,,,,
"11/1/2024
11:00:00 AM",,EF31229,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Dry",Other Contributing Circ Not Listed,,,Unknown,,,,
"11/1/2024
12:12:00 PM",,EF33889,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Interchange Ramp
Curve & Level
Blacktop
Sand/Mud/Dirt",Exceeding Reas. Safe Speed,,,Yes,,,,
"11/1/2024
12:26:00 PM",,EF31094,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Concrete
Dry",Unknown Distraction,,,Unknown,,,,
"11/1/2024
12:55:00 PM",,EF36151,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",Did Not Grant RW to Vehicle,,,Yes,,,,
"11/1/2024
12:55:00 PM",,EF36151,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Two Way - Divided, no Barrier
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2024
1:31:00 PM",,EF32239,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Improper Turn/Merge,,,Unknown,,,,
"11/1/2024
1:31:00 PM",,EF32239,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2024
2:00:00 PM",,EF37308,Pierce,,Tacoma,,,,Municipal/City Police,,"Unknown
Daylight",,"Other
Straight & Level
Concrete
Dry",Unknown Distraction,,,Unknown,,,,
"11/1/2024
2:00:00 PM",,EF37308,Pierce,,Tacoma,,,,Municipal/City Police,,"Unknown
Daylight",,"Other
Straight & Level
Dry",Other Contributing Circ Not Listed,,,Unknown,,,,
"11/1/2024
2:21:00 PM",,EF32851,Pierce,,Tacoma,,,,State Patrol,,"Overcast
Daylight",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",Exceeding Reas. Safe Speed,,,Yes,,,,
"11/1/2024
2:21:00 PM",,EF32851,Pierce,,Tacoma,,,,State Patrol,,"Overcast
Daylight",,"Two Way - Divided, with Barrier
Straight & Level
Blacktop
Dry",None,,,Yes,,,,
"11/1/2024
3:03:00 PM",,EF34497,Pierce,,Tacoma,,,,State Patrol,,"Overcast
Daylight",,"Two Way - Divided, no Barrier
Curve & Grade
Blacktop
Oil",Under Influence of Alcohol,,,Unknown,,,,
"11/1/2024
3:05:00 PM",,EF41012,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Two Way - Divided, with Barrier
Curve & Level
Blacktop
Sand/Mud/Dirt",None,,,Unknown,,,,
"11/1/2024
3:05:00 PM",,EF41012,Pierce,,Tacoma,,,,State Patrol,,"Raining
Daylight",,"Two Way - Divided, with Barrier
Curve & Level
Blacktop
Sand/Mud/Dirt",Unknown Distraction,,,Yes,,,,
"11/1/2024
3:15:00 PM",,EF31145,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Two Way - Undivided
Straight & Level
Concrete
Dry",None,,,Unknown,,,,
"11/1/2024
3:25:00 PM",,EF31070,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Two Way - Undivided
Straight & Grade
Blacktop
Wet",None,,,Unknown,,,,
"11/1/2024
3:25:00 PM",,EF31070,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Daylight",,"Two Way - Undivided
Straight & Grade
Blacktop
Wet",Follow Too Closely,,,Yes,,,,
"11/1/2024
4:01:00 PM",,EF32852,Pierce,,Tacoma,,,,State Patrol,,"Overcast
Daylight",,"Interchange Ramp
Straight & Grade
Concrete
Wet",Exceeding Reas. Safe Speed,,,Yes,,,,
"11/1/2024
4:01:00 PM",,EF32852,Pierce,,Tacoma,,,,State Patrol,,"Overcast
Daylight",,"Interchange Ramp
Straight & Grade
Concrete
Wet",None,,,Unknown,,,,
"11/1/2024
4:10:00 PM",,EF31099,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dusk",,"Center-Two Way Left Turn Lane
Straight & Grade
Blacktop
Wet",None,,,Unknown,,,,
"11/1/2024
4:10:00 PM",,EF31099,Pierce,,Tacoma,,,,Municipal/City Police,,"Raining
Dusk",,"Two Way - Divided, no Barrier
Straight & Grade
Blacktop
Wet",Did Not Grant RW to Vehicle,,,Yes,,,,
"11/1/2024
4:57:00 PM",,EF37012,Pierce,,Tacoma,,,,State Patrol,,"Clear
Daylight",,"Two Way - Divided, with Barrier
Straight & Level
Concrete
Dry",None,,,Unknown,,,,
"11/1/2024
4:57:00 PM",,EF37012,Pierce,,Tacoma,,,,State Patrol,,"Clear
Daylight",,"Two Way - Divided, with Barrier
Straight & Level
Concrete
Dry","Improper Turn/Merge, Exceeding Reas. Safe Speed",,,Unknown,,,,
"11/1/2024
5:56:00 PM",,EF31089,Pierce,,Tacoma,,,,Municipal/City Police,,"Clear
Dusk",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2024
5:56:00 PM",,EF31089,Pierce,,Tacoma,,,,Municipal/City Police,,"Clear
Dusk",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Improper Turn/Merge,,,Yes,,,,
"11/1/2024
7:47:00 PM",,EF31263,Pierce,,Tacoma,,,,County Sheriff,,"Raining
Dark-Street Lights On",,"Two Way - Divided, no Barrier
Straight & Level
Concrete
Dry",None,,,Unknown,,,,
"11/1/2024
7:47:00 PM",,EF31263,Pierce,,Tacoma,,,,County Sheriff,,"Raining
Dark-Street Lights On",,"Two Way - Divided, no Barrier
Straight & Level
Concrete
Dry",Improper Turn/Merge,,,Unknown,,,,
"11/1/2024
7:52:00 PM",,EF31182,Pierce,,Tacoma,,,,County Sheriff,,"Raining
Dark-No Street Lights",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",Under Influence of Alcohol,,,Unknown,,,,
"11/1/2024
7:52:00 PM",,EF31182,Pierce,,Tacoma,,,,County Sheriff,,"Raining
Dark-No Street Lights",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
"11/1/2024
7:52:00 PM",,EF31159,Pierce,,Tacoma,,,,Municipal/City Police,,"Clear
Dark-Street Lights On",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Yes,,,,
"11/1/2024
7:52:00 PM",,EF31159,Pierce,,Tacoma,,,,Municipal/City Police,,"Clear
Dark-Street Lights On",,"Two Way - Undivided
Straight & Level
Dry",Other Contributing Circ Not Listed,,,Unknown,,,,
"11/1/2024
8:33:00 PM",,EF31158,Pierce,,Tacoma,,,,Municipal/City Police,,"Partly Cloudy
Dark-Street Lights On",,"Two Way - Undivided
Curve & Level
Blacktop
Sand/Mud/Dirt",Unknown Distraction,,,Unknown,,,,
"11/1/2024
8:33:00 PM",,EF31158,Pierce,,Tacoma,,,,Municipal/City Police,,"Partly Cloudy
Dark-Street Lights On",,"Two Way - Undivided
Curve & Level
Blacktop
Sand/Mud/Dirt",None,,,Unknown,,,,
"11/1/2024
10:23:00 PM",,EF31171,Pierce,,Tacoma,,,,Municipal/City Police,,"Overcast
Dark-Street Lights On",,"Two Way - Undivided
Straight & Level
Blacktop
Dry",None,,,Unknown,,,,
